Date - Time,Count,Rain(inches),Date - Time 2,Stage,Flow
10/19/17 4:15,12.36,0,10/19/17 4:15,0.99,1
10/19/17 4:00,12.36,0,10/19/17 4:00,1.04,1
10/19/17 3:45,12.36,0,10/19/17 3:45,1,1
10/19/17 3:30,12.36,0,10/19/17 3:30,1.03,1
10/19/17 3:15,12.36,0,10/19/17 3:15,1,1
10/19/17 3:00,12.36,0,10/19/17 3:00,1,1
10/19/17 2:45,12.36,0,10/19/17 2:45,0.74,0
10/19/17 2:30,12.36,0,10/19/17 2:30,1.03,1
10/19/17 2:15,12.36,0,10/19/17 2:15,0.99,1
10/19/17 2:00,12.36,0,10/19/17 2:00,1.01,1
10/19/17 1:45,12.36,0,10/19/17 1:45,1,1
10/19/17 1:30,12.36,0,10/19/17 1:30,1.01,1
10/19/17 1:15,12.36,0,10/19/17 1:15,0.99,1
10/19/17 1:00,12.36,0,10/19/17 1:00,0.98,1
10/19/17 0:45,12.36,0,10/19/17 0:45,0.99,1
10/19/17 0:30,12.36,0,10/19/17 0:30,0.98,1
10/19/17 0:15,12.36,0,10/19/17 0:15,0.98,1
10/19/17 0:00,12.36,0,10/19/17 0:00,0.94,1
10/18/17 23:45,12.36,0,10/18/17 23:45,1.01,1
10/18/17 23:30,12.36,0,10/18/17 23:30,1,1
10/18/17 23:15,12.36,0,10/18/17 23:15,0.95,1
10/18/17 23:00,12.36,0,10/18/17 23:00,0.98,1
10/18/17 22:45,12.36,0,10/18/17 22:45,1.03,1
10/18/17 22:30,12.36,0,10/18/17 22:30,1.06,1
10/18/17 22:15,12.36,0,10/18/17 22:15,0.98,1
10/18/17 22:00,12.36,0,10/18/17 22:00,0.98,1
10/18/17 21:45,12.36,0,10/18/17 21:45,1.01,1
10/18/17 21:30,12.36,0,10/18/17 21:30,0.99,1
10/18/17 21:15,12.36,0,10/18/17 21:15,0.99,1
10/18/17 21:00,12.36,0,10/18/17 21:00,0.97,1
10/18/17 20:45,12.36,0,10/18/17 20:45,0.98,1
10/18/17 20:30,12.36,0,10/18/17 20:30,0.97,1
10/18/17 20:15,12.36,0,10/18/17 20:15,0.99,1
10/18/17 20:00,12.36,0,10/18/17 20:00,1.06,1
10/18/17 19:45,12.36,0,10/18/17 19:45,0.95,1
10/18/17 19:30,12.36,0,10/18/17 19:30,1,1
10/18/17 19:15,12.36,0,10/18/17 19:15,0.99,1
